ground_truth,search_output
qiáo sī lín,bo chè lín
jiǎ sī lín,bo chè lán
qiáo sī lín,bo chè lán
qiáo dì,bo dì è
zhū dí,bo dì è
qiáo,bo è
qiáo ěr,bo è lè
qiáo yī,bo è yà
yuē hàn,bo hàn
qiáo ān,bo hàn nà
yuē hàn nà,bo hàn nà
yuē hàn,bo hàn
qiáng ní,bo hàn yà
qiáo nà sī,bo nà sà
qióng nà sī,bo nà sà
qiáo nà sēn,bo nà tè hàn
qiáng nà shēng,bo nà tè hàn
qiáo dān,bo ér dān
qiáo lǐ sī,bo ruì sà
yuē sè fū,bo sè pà
yuē sè fēn,bo sè pài niè
qiáo xiū ěr,bo shū ā
yuē shū yà,bo shū ā
qiáo sī,bo sà
qiáo yī,bo yà
qiáo yī sī,bo yuē
qiáo ài sī,bo yuē
qiáo yī sī,bo yuē
zhū dì sī,bù dì tè
zhū dí sī,bù dì tè
zhū dì,bù de
zhū lì yà,bù lián
zhū lì yà,bù lián
zhū lì ān,bù lián
zhū lì,bù liè
zhū lì,bù liè
zhū lì yè,bù liè tè
zhū lì ěr sī,bù lì bù sà
zhū ēn,dùn è
zhū ní ào ěr,bù ní bo ér
jiǎ sī dīng,bù sà tíng
jiǎ sī tīng,bù sà tíng
jiǎ sī tīng,bù sà tiě
kǎ dēng,bā dèng
kǎi tè lín,tài lín
kǎ mǎ,bā mǎ
kǎ lā,bā ér ā
kǎi lún,bā ér ēn
kǎi lín,bā ér ēn
kǎ lì ān,bā diān niè
kǎ lì nà,bā ruì nà
kǎ sāng dé lā,bā shān dà
kǎ tǎ lì nà,bā tǎ lín ā
kǎi tè,bā tè
kǎi sè lín,bā tè hè bīn è
kǎi sè lín,bā tè hè lè ēn
kǎi dì,bā tiě
kǎi tè lín nà,bā tài nà
kǎi dì,bā tè
kǎi yī,bā yà
kǎi lā,bā yà lā
kǎi gān,de è gān
kǎi lā,bèi ér ā
kǎi sī,bèi tè
jī sī,bèi tè
kǎi lì,de lè lè
kǎi lì,de lè lè
kǎi lì gài,de lè lè
kǎi ěr sāi,de lè sè yà
kěn ēn,běn
gān nǎi dí,běn nèi yà
kěn ní shì,běn nèi hè
kěn ní sī,běn nèi hè
kěn tè,běn tè
kē ěr,è ér ér
kǎi ruì,è ér ér yà
kǎi lì ān,è ér ér yà ān niè
kē ěr wēn,è ér bīn
kǎi wén,de bīn
jīn mǔ,bì mì
jīn bó lì,bì mì bo ér lè yà
jīn bǎi lì,bì mì bo ér lè yà
jīn,dīng
qí lā,bì ér ā
kē kè,bì ér kè
jí dì,bì tè tè
kè lì sī dì,è ruì sà tiě
kè lǐ sī tíng,è ruì sà tíng
kè lǐ sī dì nà,è ruì sà tí nà
kè lì sī tīng,è ruì sà tiě
kè lǐ sī dì,è ruì sà tè
kù ěr tè,bù ér tè
kǎi lēi,è yà lè
kǎi ěr,è yà lè
lán bó tè,bā mì bo ér tè
lán sī,bān chè
lán sī,bān chè
láo ruì,bā ér yà
láo lā,bā bù ér ā
luó ruì ěr,bā bù ér è lè
luó lún,bā bù ér ēn
láo lún,bā bù ér ēn è
luó lì,bā ruì è
láo lún sī,bā wén chè
lěi lā,bā yà lā
lǐ,de è
liè fū,fèi
lì lā,bèi lā
lún ēn,běn
lì nà,běn ā
lán nóng,běn nóng
lán ní,běn nà
lì ào,de bo
lì áng nà,de bo nà
lì ān nà,de bo nà
lún nà dé,de bo nà ér de
lì ào bō dé,de bo pò lè
lēi sī,de sà
léi sī lì,de sà lè yà
lái sī lì,de sà liè
lǐ sī tè,de sà tè ér
lì dì xī yǎ,de tí tí ā
lǐ wéi,bèi
lù yì sī,wèi sà
lì yà mǔ,jiā mì
lì bì,bì bo
lì lā,bì lā
lì lì ān,bì lián è
lì lì sī,bì lì tè
lì lián,bì lè lián
lì lì,bì lè lè
lì lì luō sī,bì lè yà bo sè
lì nà,bīn ā
lín dá,bīn dà
lín sài,dīng sà yà
lài áng nèi ěr,qióng è lè
lì shā,bì sà
lì sà,bì sà
lì sī,bì sè
lì sī,bì zé
luō lā,bo lā
láo lún,bo ér ēn è
luō ruì dé,bo ér è tè tè
láo lì ān,bo diān niè
luò lán,bo ér ài niè
lù,dōu
lù yì,dōu jié
lù yì shì,dōu bì sà
lù yì sī,dōu bì sè
lù yì sī,dōu bì sè
luō yī sī,bo yuē
lú kǎ sī,bù cài
lù qiàn yà,cuì ā
lù sī ēn,cuì ēn
lù xī,cuì yà
lù yì jí,cuì gài
lú kè,bù kè
lù nà,dùn ā
lù dé,bù tè hè ér
lì dì yà,è yà diān
lì dí yà,è yà diān
lì lā,è yà lā
lín dá,è yǐn dà
lín dùn,è yǐn dōng
lì nài tè,è yǐn è tè tè
lín,è yǐn
lín,è yǐn
lín,è yǐn niè
lì shā,è yà sà
mǎ pèi ěr,bā bèi
mǎ dé lín,è de léi niè
mǎ dé lín,è de lín è
mǎ qí,dāng è
mài dí xùn,bā dì sòng
mài gé,è áng
mǎ gé dá léi nà,è áng dà lè nà
mài jī,bā gè è
mǎ jí,bā gài è
mǎ jí,è áng yà
mài ěr kěn,bā luò lè
mǎ ěr kē mǔ,bā luò lè
mǎ luō lì,láo ruì è
méi mì,bā mì è
màn dé ěr,bān de
màn dì,dān yà
mǎ nī,bā ní
màn nǔ āi ěr,bā nǔ è lè
mǎ xī yà,bā ruì ā
mǎ kǎ sī,bā róu sà
mǎ ěr kù sī,bā róu sà
mǎ gé lì tè,bā ér gài è tè
mǎ gé lěi sī,bā ér gài è tè
mǎ gé lì tè,bā ér gū ér bì tè
mǎ lì yà,bā ruì ā
mǎ lì ān,bā diān
mǎ lì ān nà,bā diān nà
mǎ lǐ ào,bā ruì bo
mǎ lì nà,bā ruì nà
mǎ lì nà,bā ruì nà
mǎ lì shā,bā ruì sà
mǎ qiáo lì,bā ruò ruì è
mǎ kè,bā ér kè
mǎ lín,bā ér lè niè
mǎ lún,bā ér lóng
mǎ xī,bā ér shì
mǎ xiē ěr,bā ér shā lè
mǎ shā,bā ér tè hā
mǎ shā,bā ér tè hā
mǎ dīng,bā ér tíng
mǎ dì nà,bā ér tí nà
mǎ wén,bā ruì nà
mǎ lì,bā ér yà
mǎ lì·lù,bā ér yóu
mǎ lì ān,bā ér yà niè
mǎ lì lì sī,bā ér yà lì sè
mǎ ruì sài,bā ér yà sè
mǎ xī sī,bā shì
mǎ xī sī,bā shì
mǎ tè,bā tè
mǎ xiū,bā tè hè wá
mǎ xiū,bā tè hè wá
mù dé,bā bù de
mò dé,bā bù de
mù lín,bā bù ér è ēn
mó lǐ sī,bā ruì chè
méi wēi sī,è ài sà
mǎ kè sī,bā xí
mǎ kè sī mǔ sī,bā xí mù sà
mǎ kě xīn,bā xīn è
mài kè sī wéi,bā xiè lè
mài sī wēi ěr,bā xiè lè
méi,bā yà
mǎ yǎ,bā yà
méi lín,bā yà lè ēn
méi lián,bā yà lè niè
mǐ gān,de áng hàn
méi gé,de gè
méi gēn,de gān
méi lán nī,de lán yà
méi ěr bā,de lè bā
měi lián dá,de lín dà
méng lì sà,de lì sà sà
méi luò dí,de luò de
méi ěr wén,de lín
mǎ lēi dì zī,è ér è dì tè
mò ěr,è ér lè
mò lín,è ér lín
mǎ xī,de róu
méi lì,è ér ér yà
méi lì ěr,è ér yà
mǐ yà,jiā
mài kè,bì chá è lè
mài kè ěr,bì chá è lè
mǐ kǎi lā,bì chá è lā
mì xuě lì yǎ,bì chá è lián
mǐ qì ěr,bì chè lè
mǐ xiē ěr,bì chè lè lè
mì kè,bì chá kè
mǐ jī,bì chá kè yà
mì nī ān,qióng nà
mài kè,bì kè
mù dé lì,bì lè de de
mǐ lěi nà,bì lè nà
mài ěr sī,bì lè sà
mǐ lù,bì luò
mǐ nà,bīn ā
mǐ nà,bīn nà
mì lā bèi ér,bì ér ā bèi lè
mǐ lán dá,diān dà
mì lì ēn,bì ruì ā mì
mǐ qiè ěr,bì tè chè lè
mó dài sī tí,bo de tè
mò yī lā,bo bì ér ā
mò lì,bo lè lè
mèng nà,bo nà
méng nà,bo nà
mò nī kǎ,bo ní chá
mén luō,bo nuò è
màn tè qiú,tóng ā gū è
mò ní,bo nà
mò ěr,bo bo ér è
mò lín,bo ér è ēn
mó gēn,bo ér gān
mó ěr gēn,bo ér gān
mò lǐ sài tè,bo ruì sà sè tè tè
mó dì mǎ,bo ér tí mì ér
mó dùn,bo ér tóng
mó xī,bo sè sà
mù lì ér,ruì è lè
mù lì ěr,ruì è lè
mó fēi,bù ér pà hè
mò léi,bù ér ér ā yà
mǎ lā,è yà
mǐ lǐ ān,è yì ā mì
mì ěr nà,è yà nà
mài lún,è yà róu
nà dí yà,bā diān
nà dí nà,bā dì nà
nà dīng,bā dīng
nán xī,bān chá yà
nán qiàn,bān chá yà
nà ào mǐ,bào mì
nà tè,bā tè
nà tǎ lì,bā tǎ liè
nà tǎ lì,bā tǎ liè
nà tǎ shā,bā tǎ shā
nèi sēn,bā tè hàn
nài dēng,bā tè hàn
nài bǎo ní ěr,bā tè hā niè lè
nà tí yǎ wéi dá,bā tí bì dà de
ní ěr,léi
nèi lì,de lè lè
ní ěr sēn,de lè sòng
niǔ màn,de wá màn
ní kè lēi sī,bì chá lā sà
ní kè,bì chá kè
nī kě lā,bì bo lā
ní gǔ lā sī,bì bo lā sà
nī kě,bì bo lè
ní kē ěr,bì bo lè
nài zhé ěr,bì gè lè
ní qí tǎ,bì kuí tǎ
nī nà,bīn ā
nī shén tǎ,bì shā
nuò ā,bo ā
nuò yà,è háo
nuò ā,è háo
nuò ěr,bo è lè
nuò ěr,bo è lè lè
nuò lā,bo ér ā
nuò lā,bo ér ā hè
nuò lì,bo ruì
nuò mǎ,bo ér mǎ
nuò màn,bo ér màn
nuò dùn,bo ér tóng
nuò wéi yǎ,bo jiā
nī dì yà,è yà diān
ào kè tǎ wēi ěr,è chá tài ā
ào dì liè tè,de lè tè tè
ào dì lì yà,de lián
ōu gé dēng,è dèng
ōu ěr jiā,è lā
ào lì fú,è liè
ào lì wéi,è liè
ào lì fú,è liè ér
ào lì fú,è liè ér
ào lì wēi yà,lì jiā
ào lì wéi yà,lì jiā
ào mǎ,mǎ ér
ào fēi lì yà,è pà hè lián
ōu fēi lì yà,è pà hè lián
ào lì ěr,è ruì lè lè
ào sī běn,è bo ér nà
ào sī kǎ,è shā ér
ào sī wéi dé,è sà wá lè
ào dí sī,tí sà
ào tè,è tuō
ōu ēn,wén
ōu wén,wén
péi dí,bā de de
pèi gé,è áng
bèi jī,bā gè
péi jí,bā gè
pà mǔ,bā mì
pà méi lā,bā méi lā
pà mǐ lā,bā méi lā
pān duō lā,bān dōu ā
pà kè,bā ér kè ér
pài kè,bā ér kè ér
pà tè lǐ sī,bā tài chè
pà tè lǐ xià,bā tài cuì ā
pài cuì xī yà,bā tài cuì ā
pài cuì kè,bā tài chá kè
pà tè lǐ sī,bā tài sà
pà tè qiàn,bā tè sà
bǎo luō,bā bù lè
bǎo lā,bā bù lā
sài lā,bā bù lā
bǎo lín,bā bù lín è
pài ēn,bā yǐn è
pí ěr,è ér
pèi ér,è ér lè
zhēn zhū,è ér lè
pèi dé luō,de duō
pèi jí,de gè gè
pèi nèi luò pǔ,běn è luò pèi
pèi nī,běn nà
pān nī,běn nà
pèi ruì,è ér ér yà
fěi ruì,è ér ér yà
pí tè,de tè
bǐ dé,de tè ér
fēi ěr,shì lè
fēi lì pǔ,shì lì pà
fēi lì pǔ,shì lì pà pèi
fēi lì pǔ,shì lè liè
fēi bì,è huò è bèi
fēi nī kè sī,è huò è ní xí
fēi ní kè sī,è huò è ní xí
fēi ní kè sī,è huò è ní xí
fēi lì sī,è hè lè lì sà
pí ěr sī,bì ér chè
pò lì,bo lè lè
bō bǐ,bo pà pà
bō tè,bo ér tè ér
pǔ lì mǎ,è ruì mǎ
pǔ lì mò,è ruì mò
pǔ lǐ xī lā,è ruì shì lè lā
pǔ lǔ dēng sī,è ruì dèng è
pǔ lǔ dēng sī,è ruì dèng è
kūn nà,xuě è nà
kūn tīng,bù ēn tíng
kūn tè,bù ēn tíng
kūn xī,cuì nà yà
kūn,cuì nà
kūn dì nà,cuì nà tí nà
kūn dùn,cuì nà tí bo nà
lěi qiè ěr,bā chá è lè
ruì qí ér,bā chè lè
lěi qiè ěr,bā chè lè
léi qì ěr,bā chè lè
ruì yī,bā è
lā fěi ěr,bā fǎ è lè
léi ěr fū,bā lā pà
lā ěr fū,bā lè hè
lā méng,bā mò nà
lán dào ěr,bān dà lè
lán dào fū,bān dōu pà
lán dí,dān yà
léi,bā yà
léi méng dé,bā yà mò nà
léi nà,bā yǐn ér
lì bèi kǎ,de bèi chá
lì bèi kǎ,de bèi chá
lì bèi kǎ,de bèi kǎ hè
lì bèi kǎ,de bèi kǎ
liè dé,de è de
léi zhé,de gè
léi gēn,de gān
lěi jiā nà,de gài nà
lěi jí nà,de gài nà
léi jí nuò dé,de gài nà lè
ruì dá,bèi dà ér
lěi zhēn,de jiǎn è
lēi nán,běn ān
lěi nà tǎ,běn ā tǎ
lěi nī,běn è è
lēi nèi,běn è
lǔ bīn,de bù běn
léi kè sī,de xí
léi nà ěr dé,de yà nà lè
lì ān,shì ān niè
lái sī,è hè sà
lǐ chá,bì chá ér de
lǐ qí,bì chè
lǐ kè,bì chá kè
ruì qí,bì chá kè
lì kòu,bì bo
lái lì,bì lè yà
lín gē,dīng bo
lì tǎ,bì tǎ
lì dá,bì tǎ
lì wá,bì bā
luō ān,bo ān
luō bǐ,bo bo bì è
luō bó tè,bo bo ér tè
luō bó tǎ,bo bo ér tǎ
luō bó tuō,bo bo ér tuō
luō bīn,bo bīn
luō bīn xùn,bo bīn sòng
luō bīn,bo bān
luò kè,bo chá
luò kè,bo chá kè
luō dé,bo de
luō dé lǐ kè,bo de ér bì chá kè
luō dé ní,bo dùn è yà
luō jié,bo gè ér
luō lán,bo lán de
luō màn,bo màn
luō mì ōu,bo méi
luō mì,bo mì
luō ēn,bo nà
luō nà dé,bo nà lè
luō nài ěr dé,bo nà lè
luō nán,bo nán
luō ní,bo nà niè
luō ní,bo nà nà
luō lǐ,bo ér yà
luó shā,bo sà
luō shā lín dé,bo sà lín de
luō sī,bo sè
luō sī,bo sè
luō sī léi ēn,bo sè lán
lǔ sī mǎ lì,bo sè mǎ ér yà
luó xī,bo sī è
luō sī,bo sà
luó xī,bo sà
luō kè shā nà,bo xiān ā
luō kè shān,bo xiān niè
luō yī,bo yà
luō yī,bo yà
lù bǐ,bù bo
lǔ dào fū,duō lè
lǔ dí,bù de
lǔ bó tè,bù pà ér tè
lù sī,bù tè
lǔ sī,bù tè
lái ān,yà nà
lǐ ān,yà nà
shā bì nà,bā bīn ā
sà bīn,bā bīn è
shā bǎi lín nà,bā bīn ā
sà bù lì nà,bā bīn ā
sà dì,bā dì è
shā lì,bā lè lè
shā lè měi,láo mǎ yà
shā luò mǔ,láo méi
shān mǔ,bā mì
shā màn chè,bā màn tè hā
xīn pǔ sēn,bā mì pà sòng
sā mǔ ěr,bā mù è lè
sà miù ěr,bā mù è lè
sāng dé lā,bān dà
shān duō lā,bān dà
xiān dì,dān yà
sāng dí,dān yà
shān dí,dān yà
sà nī,bān nà
shā lā,bā ér ā
shā lā,bā ér ā hè
sài lā,bā ér ā hè
sà dì nà,bā tí nà
sà fán nà,bā bān nà hè
sā kè xùn,bā xùn
sī jiā lì,è cài lè tè
shǐ kǎo tè,è bo tè
sī kǎo tè,è bo tè
xiào ēn,de ān
xī bā sī tīng,de bā sà tí ān
sài bā sī dì ān,de bā sà tí ān
shā bā sī tí nī,de bā sà tí ān è
sāi lěi nà,de lè nà
sà lín nà,de lè nà
xī lái sī tè,de lè sà tè
sāi léi nà,è ér è nà
sāi ěr jí ào,è ér guǒ
sī tè lēi,de tè lè lā
shā lín,chá lè ēn
shā nà,hàn ā
shā nī,chá niè
shā nóng,hàn nà ēn
shā nóng,hàn nóng
shā lún,è háo nà
xuě lún,è háo nà
shā lì,chá ér yà
sài tú yǎ,è háo yà
shào nà,è hàn ā
xiào ēn,è hàn
qiàn nà,chè è nà
xī lā,chè bì lā
shài lā,chè bì lā
xiè ěr bì,chè lè bo
xiè lì,chè lè lè yà
xuě lái,chè lè lè
xuě lì,chè ér yà
xī lā,shì è lā
shén lì lā,shì ruì lā
xuě lì,shì ér lè yà
xī bèi ér,bì bo lè
xī dé,bì de
xī dé ní,diān è yà
xī gé lì dé,bì gài de
qiàn ěr wǎ nà,è lián ā
sài mén,bì mò nà
xí mèng nà,bì mò nà
qiàn méng,bì mò niè
sī lóng,è lián è
shǐ mì sī,mì tè
suǒ fēi yà,bo fèi ā
sū lián,bo lè niè
suǒ luō mén,bo luò mò nà
suǒ ní yà,bo ní ā
sòng yǎ,bo nà
suǒ ní,bo nà nà
sū fēi yà,bo pài ā
sū fēi yà,bo pài ā
shǐ bīn dù,è pà ēn chá ér
sī bǎi líng,è pà dīng
sī tài xī,tǎ chè yà
sī dài qiàn,tǎ chè yà
shǐ dān,tǎn
shǐ dān fú,tǎn bo ér de
shǐ dān ní,tǎn lè yà
sī tè fán,tè fàn
sī dì fēn nī,tè fàn yà
sī tè lā,tè lè lā
sī tè fēn nī,tè pà hā niè
sī dì fēn nī,tè pà hàn yà
sī dì fēn,tè shén
shǐ dì wén,tè běn
shǐ dì wén,tè běn
shǐ dì fū,tè jié
shǐ dōu huá dé,tè wá ér de
sī tú ěr tè,tè wá ér tè
sū shān,bù shān
sū shān nà,bù shān nà
sū xī,bù sī è
sū shān,bù zhān niè
sū sāi,bù zé lè
sū xī,bù zī è
xī bèi,è yuē lè lè
xī ěr wéi yà,è yà lài ā
xī ěr wéi,è yà liè
tǎ bó,bài
tǎ bā tǎ,bā bā tè hā
tài bèi shā,bā bì tè hā
tǎ mǎ lā,bā mǎ ér ā
tǎ mǐ,bā mì mì
tài mì,bā mì mì
tǎ ní yà,bā ní ā
tài lā,bā ér ā
tǎ tí ān nà,bā tí ā nà
tài lēi,bā yà luò ér
tài dé,de
tài ruì shā,è ér è sà
tài lún sī,è ér nà ēn chè
tài ruì,è ér ruì
tài sī,de sà
tǎ lì yà,chá lián
xī ěr bǎo tè,chè bo bā lè
xī ào duō,chè bo dōu è
xī ōu duō ěr,chè bo dōu è
xí lā,chè ér ā
tài lì sà,chè ér è sà
tāng mǎ shì,è huò mǎ sà
tí yà,jiā
dì fán nī,bì fù fàn yà
dì fǎ ní,bì fù fàn yà
dì fú ní,bì fù fàn yà
dī mǔ,bì mì
dì mò xī,bì mò tè hè
dì nà,bīn ā
tuō bǐ,bo bèi
tuō bǐ,bo bo
tuō dé,bo de
táo dé,bo de
tāng mǔ,bo mì
tuō ní,bo nà
tāng ní,bo nà
tuō lì,bo ruì
cuì xī,ér cài yà
tè ruì xī,ér cài yà
tè lì nà,ér è è nà
tè léi fú,ér è bo ér
tè ruì sà,è ruì cuì ā
cuī nà,è ruì nà
cuì nī tí,è ruì ní tè
cuì sī tè,è ruì sà tǎ
tè luò yī,è róu
dù dá,è ruì dà
dù lǔ mén,è ruì màn
tè nà,bù ér nà ér
tài lēi,è yà lè ér
tài lǎng,è yà ruò niè
tài lún,è yà ruò niè
yōu lā,lā
yóu lǐ xī sī,è lè sà sè sà
wēng bèi tuō,è mì bo ér tuō
yōu nà,nà
ā pǔ dùn,è pà tóng
yóu lái yà,ér hǎi
è xiū lā,ér sū lā
fàn lún tīng nà,bā lè nà tí nà
wǎ lún tīng,bā lè nà tiě
fàn lún dīng,bā lè nà tiě
fàn lún tiě ēn,bā lè nà tiě
wǎ lái lǐ yà,bā léi ā
wǎ lēi lì,bā léi è
wǎ nī shā,bān è sà sà
wēi,bā yà
wéi nà sī,de nǔ sà
wéi lā,è ér ā
wéi jí ěr,è ér gài lè
wéi nà,è ér nà
fú néng,è ér niè
wéi lóng kǎ,è ér bo mǎ
wéi lā nī kǎ,è ér bo ní chá
wéi luō ní kǎ,è ér bo ní chá
wéi kè,bì chá
wēi qí,bì cuì
wéi jí,bì chá kè
wéi jī,bì chá kè
wéi kè tè,bì chá tuō ér
wéi duō lì yà,bì chá tuō ruì ā
wén sēn,bīn běn tè
wén sēn tè,bīn běn tè
wéi ěr lā,bì bo lā
wéi ěr lì tè,bì bo lè tè
wéi jí ěr,bì ruì lè
wéi jí nī yà,bì ruì ní ā
wéi jí ní yà,bì ruì ní ā
wéi dá,bì tǎ
wéi duō,bì tuō
wèi wéi ēn,bì diān
wéi wéi ān,bì diān è
wéi wén,bì bì ēn
wéi dé,è de
wǎ ěr kè,bā lè kè ér
huá lái shì,bā lè lā chè
huá lì sī,bā lè lì sà
wò ěr tè,bā lè tè ér
wǎ ěr tè,bā lè tè ér
wàng dá,bān dà
wàng dá,bān dà
huá dé,bā ér de
huá nà,è ān ér
wéi ēn,bā yǐn è
wéi bó,bèi bo
wéi bó sī tè,bèi sà tè ér
wēn dé ěr,běn de lè
wēn dì,dèng yà
wēn dí,dèng yà
wéi nà ěr,è ér nà ér
wéi sī lì,de sà lè yà
wéi ěr bó,bì lè bù ér
wēi ěr fú lǐ dé,bì liè de
wēi ěr,bì lè
wēi lián,bì lè lián
wēi lì,bì lè liè
wēi ěr xùn,bì lè sòng
wēi fú liè dé,bīn fù è de
wēi ní fú léi dé,bì ní fù è de
wēn nī,bīn ní
wēn shì dùn,bīn sà tóng
wǔ dé luò,bo bo de róu
wò zī huá sī,bo ér de sà wò ér tè
lái tè,è ruì gè hè
sāng xí,táng hè
sài wéi ěr,è ài ér
sài wēi yà lā,è ài ér ā
zhī nī yǎ,de ní ā
yé lǔ,bā lè
yà ní sī,bā ní sà
yǎ ēn,bān nà
yǎ sī mǐn,bā sà mǐn è
yé dá,de de dà
yé hū dì,de hú dì
yī yé tǎ,de tè tǎ
yuē kè,bo ér kè
yī fū,è de sà
yī yé fú tè,è de tè tè
xī ěr wéi yà,è lài ā
yī fāng,è bo niè
zhā kè lì,bā chá ér yà
zhā kǎ lǐ,bā chá ér yà
shā lā,bā ér ā
jì bó lún,de bù lóng
lì nuò bǐ lì,běn bo bì ā
sū luò,è ér bo
zuǒ yī,bo è
ruò yī,bo è
ruò nà,bo nà
ruò lā,bo ér ā
